id,jurisd_osm_id,ctype,pack_id,fhash,fname,fversion,is_valid,fmeta,config,ingest_instant
5179,297919,dwg,15,0b7d05c078785f7bc83f080ef6410b8846035352773ad6e14f015a96e3bab628,MALHA_URBANA_SIRGAS_JANEIRO_2019_V2000.dwg,1,t,"{""ext"": ""dwg"", ""size"": 52876336, ""isdir"": false, ""access"": ""2020-09-21T07:20:29+00:00"", ""change"": ""2020-09-17T23:15:50+00:00"", ""pack_id"": 15, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-Limeira""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5180,297564,territorios,16,305df61c61e90caef0a0409a09b7d01a56beb6e107ae4430188617c7058f02a1,Bairros.zip,1,t,"{""ext"": ""zip"", ""size"": 109452, ""isdir"": false, ""access"": ""2020-09-21T07:20:23+00:00"", ""change"": ""2020-09-02T06:19:03+00:00"", ""pack_id"": 16, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-PR-Cascavel""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5181,297564,eixos,16,f4fe1f604f927b1d07ae56ec11ea9e3c4c64a4d02c01ce80ad041beadab165dc,Logradouros.zip,1,t,"{""ext"": ""zip"", ""size"": 1928343, ""isdir"": false, ""access"": ""2020-09-21T07:20:23+00:00"", ""change"": ""2020-09-02T06:18:22+00:00"", ""pack_id"": 16, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-PR-Cascavel""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5182,297564,lotes,16,ae8dc027fe9e0983b553508c3a313061f7f466c50d66124c86c96254f70c4c15,Lotes.zip,1,t,"{""ext"": ""zip"", ""size"": 10174579, ""isdir"": false, ""access"": ""2020-09-21T07:20:23+00:00"", ""change"": ""2020-09-02T06:18:30+00:00"", ""pack_id"": 16, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-PR-Cascavel""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5183,298424,lotes,17,3c89fd728a33d781a60088e8b384295e92e70c96b6c9fed78bd4f36f819df67a,lotes_prediais.zip,1,t,"{""ext"": ""zip"", ""size"": 14476669, ""isdir"": false, ""access"": ""2020-09-21T07:20:42+00:00"", ""change"": ""2020-08-14T16:41:43+00:00"", ""pack_id"": 17, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-Sorocaba""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5184,298424,eixos,17,f88024120a0355a4a9c5ee990c31a41a031a06c25e82eca5e7320d00030edb36,shape_eixos_sorocaba.zip,1,t,"{""ext"": ""zip"", ""size"": 1880173, ""isdir"": false, ""access"": ""2020-09-21T07:20:42+00:00"", ""change"": ""2020-08-14T16:41:32+00:00"", ""pack_id"": 17, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-SP-Sorocaba""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5185,2220789,enderecos,18,0692a8ab9b2eef6eac542a265c98e5a84198cd75002ad2a30d49b7e4420db793,Empresas.zip,1,t,"{""ext"": ""zip"", ""size"": 2182794, ""isdir"": false, ""access"": ""2020-09-21T07:20:26+00:00"", ""change"": ""2020-08-14T17:47:19+00:00"", ""pack_id"": 18, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-RJ-Niteroi""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5186,2220789,territorios,18,fd0fcfd937ee3d20620862cce6e870679518f4756063f3045c7f65e6b9ca9981,Limite_de_Bairros-shp.zip,1,t,"{""ext"": ""zip"", ""size"": 245039, ""isdir"": false, ""access"": ""2020-09-21T07:20:26+00:00"", ""change"": ""2020-08-14T17:46:54+00:00"", ""pack_id"": 18, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-RJ-Niteroi""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5187,2220789,eixos,18,5f7e5ecf8e15a9c13323cb9f4fddadee80eb3e253bcc270dc8c134400af3a8b2,Logradouro.zip,1,t,"{""ext"": ""zip"", ""size"": 1079420, ""isdir"": false, ""access"": ""2020-09-21T07:20:26+00:00"", ""change"": ""2020-08-14T17:46:48+00:00"", ""pack_id"": 18, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-RJ-Niteroi""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
5188,2220789,lotes,18,4bde69d0057c0785598f98963fdae3dc90420fb8f163652d70b659210da0ae2b,Lotes.zip,1,t,"{""ext"": ""zip"", ""size"": 9126004, ""isdir"": false, ""access"": ""2020-09-21T07:20:26+00:00"", ""change"": ""2020-08-14T17:46:42+00:00"", ""pack_id"": 18, ""hashtype"": ""sha256sum-bin"", ""username"": ""igor"", ""jurisdiction_label"": ""BR-RJ-Niteroi""}","{""staging_db"": ""dl03t_main""}",2020-09-27 23:52:39.224567
