id,city_id,cityname,pack_id,fhash,fname,ctype
82,3550308,BR-SP-SaoPaulo,35,f014b7ccf0830cc7c79a63f69accb05b457c5be3a6c23335c9219ef1da4e0930,SHP_edificacao_JARDIM_SAO_LUIS.zip,edificacoes
83,3550308,BR-SP-SaoPaulo,35,af47f755ff72a2dbe519e1ce501e03489f1379c6bb1e5eee67868347d93d9315,SHP_edificacao_JOSE_BONIFACIO.zip,edificacoes
84,3550308,BR-SP-SaoPaulo,35,382d370d2cf5627c676467bf493f3845f79fdb2087ae5a9ed2c61594972247b0,SHP_edificacao_LAJEADO.zip,edificacoes
85,3550308,BR-SP-SaoPaulo,35,a65737e48dada9929c35abc7ac9d0498f06e503b2bcb045294f87cc3932197d5,SHP_edificacao_LAPA.zip,edificacoes
86,3550308,BR-SP-SaoPaulo,35,ff9cd07933781752f76233a2723b3457e4661e1e9d028b283a6939666f5f48ea,SHP_edificacao_LIBERDADE.zip,edificacoes
87,3550308,BR-SP-SaoPaulo,35,e8eadd00f8264a5f2d892cf71d8019d399f92814efbb95593aa4136136a17d26,SHP_edificacao_LIMAO.zip,edificacoes
88,3550308,BR-SP-SaoPaulo,35,34a54da7027cf2677169e19918266dd4e45e56b9b0c040f7f5dc70f954c9477f,SHP_edificacao_MANDAQUI.zip,edificacoes
89,3550308,BR-SP-SaoPaulo,35,a48883e4723cd1534ef0063dadb1ec7c6635abc79f13c0c2c8e469d6fc944334,SHP_edificacao_MARSILAC.zip,edificacoes
90,3550308,BR-SP-SaoPaulo,35,c25b21cb82f8bd2c6a1e4919fb2f8c82bd357b257a41b48006eb18cadf23f1e7,SHP_edificacao_MOEMA.zip,edificacoes
91,3550308,BR-SP-SaoPaulo,35,843916a6613a15ea8a25ad9dbf800ffaa97204c73e7c23f4eb43270d705b84c6,SHP_edificacao_MOOCA.zip,edificacoes
92,3550308,BR-SP-SaoPaulo,35,61bb2ffeb560f5556fd52700c298bd22f47929eae6e378acab5fb6781d2f7511,SHP_edificacao_MORUMBI.zip,edificacoes
93,3550308,BR-SP-SaoPaulo,35,7950549b85dea57587854d4732c7b97a7359d6f74e1214bfb7ffd370aff99fc9,SHP_edificacao_PARELHEIROS.zip,edificacoes
94,3550308,BR-SP-SaoPaulo,35,072e3a0a65ce83bcda2f46b9bc7106e8632783486ffefc014906086bdff374b2,SHP_edificacao_PARI.zip,edificacoes
95,3550308,BR-SP-SaoPaulo,35,b5ed27497a75aa2efe8fba6055a37f6eb1b32c5e18c22472134c5e9d3d2ade9a,SHP_edificacao_PARQUE_DO_CARMO.zip,edificacoes
96,3550308,BR-SP-SaoPaulo,35,53aeb5944b3ff59001611e3cb72acc0a05499d3d95a22f7bb0c8fe55abab32f5,SHP_edificacao_PEDREIRA.zip,edificacoes
97,3550308,BR-SP-SaoPaulo,35,5c64929e81e7d3132f4a9171a1e563e41051239c38b4638e4478830648c1ce7f,SHP_edificacao_PENHA.zip,edificacoes
98,3550308,BR-SP-SaoPaulo,35,d665ff87ddad904a38d94686993d71fdb21a90748ac62caf0f08c77bb4e9a882,SHP_edificacao_PERDIZES.zip,edificacoes
99,3550308,BR-SP-SaoPaulo,35,dad255cafc64afec76de16a2f4e67c112d436f4d419fa74aeead2d86e852c961,SHP_edificacao_PERUS.zip,edificacoes
100,3550308,BR-SP-SaoPaulo,35,a89eddb337674129a43bc7fb015a4e5f53a946ee06f760e0d18cd4cd848aa9fa,SHP_edificacao_PINHEIROS.zip,edificacoes
101,3550308,BR-SP-SaoPaulo,35,fbca43ba309fa6293f6e4943754f6e4d48c64820a5895ff21101f068a12b119c,SHP_edificacao_PIRITUBA.zip,edificacoes
102,3550308,BR-SP-SaoPaulo,35,4e85bedf9278ab00162c2cae0d2f4ec7c755059a1d9ce36d8bf8cae2dc0599be,SHP_edificacao_PONTE_RASA.zip,edificacoes
103,3550308,BR-SP-SaoPaulo,35,63fb0f21f9911fb4d7abfd040bc07ddac4d2964ad821b82b057b72cfd9da2a59,SHP_edificacao_RAPOSO_TAVARES.zip,edificacoes
104,3550308,BR-SP-SaoPaulo,35,0df34d2a154d6f332de756830cd94e9f98f435dce6e82f07465a730003319390,SHP_edificacao_REPUBLICA.zip,edificacoes
105,3550308,BR-SP-SaoPaulo,35,e0163579446f62e03e2711013fb116dbecf02ff32878b0582a96ba8405cf5f90,SHP_edificacao_RIO_PEQUENO.zip,edificacoes
106,3550308,BR-SP-SaoPaulo,35,5fbfa4cb36bed0fd5ef582a94bc7a794db8604b11439d6c539a7f4db99a76558,SHP_edificacao_SACOMA.zip,edificacoes
107,3550308,BR-SP-SaoPaulo,35,f38d24438c21a3f8e06192171026293af461ee7167a1aac21da8dbdf1e7fdfcc,SHP_edificacao_SANTA_CECILIA.zip,edificacoes
108,3550308,BR-SP-SaoPaulo,35,61b8d7db35f96fe5766938678173bf7ba180d858fde8bd69969afece29c14aa0,SHP_edificacao_SANTANA.zip,edificacoes
109,3550308,BR-SP-SaoPaulo,35,72b54f1f9c1891c8e19fb2d7f387d9fdd0e82f0a5aa9dc59a59679ca69c2076d,SHP_edificacao_SANTO_AMARO.zip,edificacoes
110,3550308,BR-SP-SaoPaulo,35,09b03298fab6863c1a8c2870dca6452fc19957152e7961156378da375f39af46,SHP_edificacao_SAO_DOMINGOS.zip,edificacoes
111,3550308,BR-SP-SaoPaulo,35,8a1f136c1359bfd5cac60afe42f95cca095907941a9ae58141bb9fd7d0ace8c3,SHP_edificacao_SAO_LUCAS.zip,edificacoes
112,3550308,BR-SP-SaoPaulo,35,c8e401518d5afdd7091a2d67f3612729c82c0951c5073247ec07d8a10866bd89,SHP_edificacao_SAO_MATEUS.zip,edificacoes
113,3550308,BR-SP-SaoPaulo,35,737cd1972003b619e966b01bf1153ef22f138e32b617858bff3445821f5d6c2e,SHP_edificacao_SAO_MIGUEL.zip,edificacoes
114,3550308,BR-SP-SaoPaulo,35,d5b79a04419119a9d1fe2affd705cd1445c31920a98e54e92c68b11355238fcc,SHP_edificacao_SAO_RAFAEL.zip,edificacoes
115,3550308,BR-SP-SaoPaulo,35,b78bf3d628034ab428513d35a9f4e779ec7d38bdad2e3e3e904c74f735d99f17,SHP_edificacao_SAPOPEMBA.zip,edificacoes
116,3550308,BR-SP-SaoPaulo,35,7144cca0a7504cf62ed81e2d1d9c29070dc6af913d171d24191ef7618ccdb5e9,SHP_edificacao_SAUDE.zip,edificacoes
117,3550308,BR-SP-SaoPaulo,35,0987914e518f06c16b0ed455ec7054ab0f461019a96bf700ebbbb8ff33132fff,SHP_edificacao_SE.zip,edificacoes
118,3550308,BR-SP-SaoPaulo,35,d5cfede1cc54e1373193d8a6ae4d3ad3305b4f58e337d16b556308bd6ac3b4ab,SHP_edificacao_SOCORRO.zip,edificacoes
119,3550308,BR-SP-SaoPaulo,35,df3ba84f710456fe67250517354173b4f7a2dc03cf6135d8279177b1c6324443,SHP_edificacao_TATUAPE.zip,edificacoes
120,3550308,BR-SP-SaoPaulo,35,2c59be1cdb0b03271ada7dc96cfcdb177bb0962b9ea8e931f6fd7858ba9d937d,SHP_edificacao_TREMEMBE.zip,edificacoes
121,3550308,BR-SP-SaoPaulo,35,95dbaa9dc3578523a3638408b84845ffcd64d26e7e4ec4bd157c9ba7c3790b09,SHP_edificacao_TUCURUVI.zip,edificacoes
122,3550308,BR-SP-SaoPaulo,35,cbd0eeb6a79b38663f4a7be3d161472e104d74f4b3299fe24a4c3847eb43303e,SHP_edificacao_VILA_ANDRADE.zip,edificacoes
123,3550308,BR-SP-SaoPaulo,35,ec3ed0c0b3c6d879c2c539dff0cc01ab29894fe4872ddd302e4f356a80b87971,SHP_edificacao_VILA_CURUCA.zip,edificacoes
124,3550308,BR-SP-SaoPaulo,35,fbec15379bb18d45fff5095a1bfc39cc6ce754ffc407b8ba03af8582e31089ed,SHP_edificacao_VILA_FORMOSA.zip,edificacoes
125,3550308,BR-SP-SaoPaulo,35,7447a20e5eca53baddce34006ca38e831904ebac33b0bb11e1b10217253cd050,SHP_edificacao_VILA_GUILHERME.zip,edificacoes
126,3550308,BR-SP-SaoPaulo,35,ed4d06e1c926188d9171fd8bdba058d136f9a08c3f4de88aee32e0abbca9f49d,SHP_edificacao_VILA_JACUI.zip,edificacoes
127,3550308,BR-SP-SaoPaulo,35,a66de7f593d65b6f12b014e4d3d42cf6d909c2aee89957e12130743d64f57336,SHP_edificacao_VILA_LEOPOLDINA.zip,edificacoes
131,3550308,BR-SP-SaoPaulo,35,32b4b2beca3013094be7e21c0c5f10810fc90816b46b69b64269daec4a60bce1,SHP_edificacao_VILA_MEDEIROS.zip,edificacoes
132,3550308,BR-SP-SaoPaulo,35,25850cf03b1e0be148696485ed4cf5d5caf061729f01acb390b9a3c058cee686,SHP_edificacao_VILA_PRUDENTE.zip,edificacoes
133,3550308,BR-SP-SaoPaulo,35,33c8d43aac122d064bf9e9f37325dde5bc3db578858109e4399f9b2b84ce4885,SHP_edificacao_VILA_SONIA.zip,edificacoes
134,3550308,BR-SP-SaoPaulo,35,f6366e74c75b65648ce7c17c090b58e01f9888ff842801257634ae00e04c4026,SIRGAS_SHP_distrito.zip,subdivisao
135,3550308,BR-SP-SaoPaulo,35,ef12421332aca1f53484084ab50bdca48d243ba1d9593ebfd873a1af2ab86556,SIRGAS_SHP_logradouronbl.zip,eixos
136,3550308,BR-SP-SaoPaulo,35,8d57b8e89e77e7d2c194b7afc208ef861c85e0e233b52eae7dfaaa159ecd7f6a,SIRGAS_SHP_LOTES_01_AGUA_RASA.zip,lotes
227,3550308,BR-SP-SaoPaulo,35,e152c3d4886444c849b30b4a4dae55cc656b0f21d0016d1dcd0b2e44c78c38a4,SIRGAS_SHP_LOTES_92_VILA_MEDEIROS.zip,lotes
137,3550308,BR-SP-SaoPaulo,35,028b1500b346891bdf2acb04d63f15db4604c5d9f575e4d69ad7e3b1c84d6c74,SIRGAS_SHP_LOTES_02_ALTO_DE_PINHEIROS.zip,lotes
138,3550308,BR-SP-SaoPaulo,35,96c274bdee92c32dffec56115b63e4c74ce27891b9082033f6c30a1e65491032,SIRGAS_SHP_LOTES_03_ANHANGUERA.zip,lotes
139,3550308,BR-SP-SaoPaulo,35,b4ea950b09dbc6f42031b63237e5fd6b118d9fa34066d1bf89f4c154e1231210,SIRGAS_SHP_LOTES_04_ARICANDUVA.zip,lotes
140,3550308,BR-SP-SaoPaulo,35,5f9b3403dc9c90114602177e7b7503dcee8b7d8f65b70523ca9f994da2fa89e2,SIRGAS_SHP_LOTES_05_ARTUR_ALVIM.zip,lotes
141,3550308,BR-SP-SaoPaulo,35,62780884bc3496748f50dbf9fe45ec4b894329ef6555a00b02ae89fd95322db0,SIRGAS_SHP_LOTES_06_BARRA_FUNDA.zip,lotes
142,3550308,BR-SP-SaoPaulo,35,1955fc5a45ee9d73b77c340157f7d8ab392ce81532a8123a3e24315ffe7ba5ff,SIRGAS_SHP_LOTES_07_BELA_VISTA.zip,lotes
5,3205309,BR-ES-Vitoria,23,307f158ccd7d9ff8f7ec9767de719595fde4ea759c14316d478da176c23303fe,bairros.zip,std
6,3205309,BR-ES-Vitoria,23,58d1d77cd2dd760f6a57bfda746da7f2658fe8a1f23f6d371ed5a8e230ac30cf,edificacao.zip,std
7,3205309,BR-ES-Vitoria,23,252f2228f3400be3f6fdbef5a99b3aacf1ed0232ab73675ed918f9b5f8743752,eixo_logradouro.zip,std
143,3550308,BR-SP-SaoPaulo,35,200659df65901aad60938aeb6583e5dce73250e8609b3a48163c136262ab0f11,SIRGAS_SHP_LOTES_08_BELEM.zip,lotes
144,3550308,BR-SP-SaoPaulo,35,b86f02769f2a6405f0ba3d36805ac2173b675e298c23702b481d1fc03b7a7746,SIRGAS_SHP_LOTES_09_BOM_RETIRO.zip,lotes
145,3550308,BR-SP-SaoPaulo,35,0fcd98a1b3e8bd0a716d5f94ea305498ed3a4debe9bab89ff32d0638a2d080b5,SIRGAS_SHP_LOTES_10_BRAS.zip,lotes
146,3550308,BR-SP-SaoPaulo,35,a229390fc8035e0c53fd8ab7eecbb593b8d3c30bb836cd726d9a6df58400d274,SIRGAS_SHP_LOTES_11_BRASILANDIA.zip,lotes
147,3550308,BR-SP-SaoPaulo,35,dd53c197cd589a4c168ac3049a4855340daf861bc132a7d203da1380e6a09bd7,SIRGAS_SHP_LOTES_12_BUTANTA.zip,lotes
148,3550308,BR-SP-SaoPaulo,35,7afb2fbae956f05882a135926255092cd224c15a79ec152c4176d660ba503423,SIRGAS_SHP_LOTES_13_CACHOEIRINHA.zip,lotes
149,3550308,BR-SP-SaoPaulo,35,fe2db02418703583e3c271795033f47cff7b4446ec4d44024839b91910523d17,SIRGAS_SHP_LOTES_14_CAMBUCI.zip,lotes
150,3550308,BR-SP-SaoPaulo,35,c53374ee9e23913de0c6807a3b8a65d49bf39b2f96a77413401635199cefdd71,SIRGAS_SHP_LOTES_15_CAMPO_BELO.zip,lotes
151,3550308,BR-SP-SaoPaulo,35,ed4cb2dc702ce54808ee7c384570fc4c65843ca716375afa4c10963f07fbdcea,SIRGAS_SHP_LOTES_16_CAMPO_GRANDE.zip,lotes
