pack_id,donor_id,donor_label,user_resp,accepted_date,escopo,about,author,contentReferenceTime,license_is_explicit,license,uri_objType,uri,isAt_UrbiGIS
39,22,SP-CAM,igor,2020-08-14,BR-SP-Campinas,"Eixos, loteamentos, pontos de lotes",(self),2019,no,CC0,site,https://informacao-didc.campinas.sp.gov.br/metadados.php,no
40,36,SP-SLT,igor,1900-01-01,BR-SP-Salto,(sem material),(self),2019,no,CC0,(vazio),http://www.geosalto.geonet.net.br/,no
41,37,PR-PBC,igor,2020-08-12,BR-PR-PatoBranco,"(material em tratamento: lote, eixo, meio fio)",(self),2019,no,CC0,email,(anexo de email),no
42,38,RJ-DQX,igor,2020-08-18,BR-RJ-DuqueCaxias,"Bairros, distritos, município, eixos-estradas rurais",(self),2019,no,CC0,email,(anexo de email),no
43,39,MG-GVS,igor,2020-08-24,BR-MG-GovernadorValadares,"Bairros, eixos, lotes (inscrição), quadras, meio-fio, posteação, arborização",(self),2019,no,CC0,email,(anexo de email),no
44,40,SP-CBV,igor,2020-08-27,BR-SP-Cabreuva,Mapa em DWG,(self),2019,no,CC0,email,(anexo de email),no
45,41,SP-PIR,igor,2020-09-03,BR-SP-Piracicaba,"Lotes (endereços), Bairros, Quadras",(self),2019,no,CC0,site,http://geo.piracicaba.sp.gov.br/app/glue-piracicaba/login.html,no
46,42,AC-RBO,igor,2020-09-10,BR-AC-RioBranco,Eixos,(self),2019,no,CC0,email,(anexo de email),no
47,43,SP-SJC,igor,2020-09-15,BR-SP-SaoJoseCampos,"Eixos, Bairros",(self),2019,no,CC0,site,https://www.sjc.sp.gov.br/servicos/urbanismo-e-sustentabilidade/uso-do-solo/geoprocessamento/,no
48,45,PI-TSA,igor,2020-09-23,BR-PI-Teresina,"Eixos, bairros, quadras, praças, equipamentos, perímetro urbano, aglomerações subnormais",(self),2019,no,CC0,"site,email",https://semplan.teresina.pi.gov.br/mapas-interativos/,no
49,46,ECT,peter,2020-10-04,BR,CEP e ruas,(self),2019-07,yes,comercial,,,no
50,47,A4A,peter,2020-10-04,BR,abreviações de prefixo de via no ato da instalação,(self),2020,yes,CC0,,,no
51,4,OSM,peter,2020-10-04,BR,"Planet OSM, todos os dados ",(self),2020-09-25,yes,ODbL,site,http://download.geofabrik.de/south-america/brazil-latest.osm.pbf,no
52,23,SP-GRJ,igor,2020-10-01,BR-SP-GRJ,Mapa em DWG,(self),2019,,CC0,,(anexo de email),no
53,1,IBGE,igor,2020-10-06,BR,Faces de quadras,(self),2019,,CC0,,https://www.ibge.gov.br/geociencias/downloads-geociencias.html?caminho=recortes_para_fins_estatisticos/malha_de_setores_censitarios/censo_2010/base_de_faces_de_logradouros_versao_2019,no
54,48,MS-DOS,igor,1900-01-01,BR-MS-Dourados,(sem material),(self),,yes,CC0,(vazio),(aguardando material),no
55,49,SP-CQH,igor,2020-10-06,BR-SP-Cerquilho,"Bairros, linhas de ônibus, praças, equipamentos",(self),2020,no,CC0,email,(anexo de email),no
56,1,IBGE,peter,2020-11-02,BR,Divisão Territorial Brasileira - DTB,(self),2019,no,CC0,site,https://www.ibge.gov.br/geociencias/organizacao-do-territorio/estrutura-territorial/23701-divisao-territorial-brasileira.html?=&t=downloads&utm_source=landing&utm_medium=explica&utm_campaign=codmun,no
57,51,ClickSys-BR,peter,2020-11-04,BR,Enderecos dos CNPJS ativos do Brasil,Receita Federal,2020,no,CC0,email,(anexo de email),no
58,52,SP-RPR,igor,2020-11-12,BR-SP-RibeiraoPreto,"Eixos, lotes, quadras, pontos de interesse instituicional e turístico",(self),2020,no,CC0,email,(anexo de email),no
59,53,IPUF,igor,2020-11-13,BR-SC-FNS,"Eixos, bairros, lotes, espaços públicos.",(self),2020,no,CC0,email,(anexo de email),no
60,54,GO-GNA,igor,2020-12-01,BR-GO-Goiania,"Lotes, quadras, bairros, limites de município, eixos, meios-fios, hidrografia, pontos de interesse, pontos de praças, grandes equipamentos e pontos de escolas",(self),2018,no,CC0,site,http://dadosabertos.goiania.go.gov.br/,no
